raw_institution,canonical_institutions,approved,manual_split_institutions,current_country_candidates
Work done while at Mila-Quebec AI Institute,"[""Work done while at Mila-Quebec AI Institute""]",REMOVE,[],CA
School of Computer Science,"[""School of Computer Science""]",REMOVE,[],"[""AT"", ""AU"", ""CA"", ""CH"", ""CN"", ""DE"", ""FI"", ""FR"", ""GB"", ""HK"", ""IE"", ""IL"", ""JP"", ""KR"", ""NL"", ""NO"", ""NZ"", ""SG"", ""US""]"
College Park,"[""College Park""]",REMOVE,[],"[""AT"", ""AU"", ""CA"", ""CH"", ""CN"", ""DE"", ""FR"", ""GB"", ""IL"", ""IT"", ""JP"", ""KR"", ""SG"", ""US""]"
Irvine,"[""Irvine""]",REMOVE,[],"[""AT"", ""CH"", ""DE"", ""GB"", ""US""]"
Max Planck Institute,"[""Max Planck Institute""]",REMOVE,[],DE
School of Computer Science and Engineering,"[""School of Computer Science and Engineering""]",REMOVE,[],"[""AT"", ""DE""]"
Davis,"[""Davis""]",REMOVE,[],"[""AT"", ""DE""]"
Institute of Computing Technology,"[""Institute of Computing Technology""]",REMOVE,[],"[""AT"", ""DE""]"
Data61,"[""Data61""]",REMOVE,[],AU
School of Computing,"[""School of Computing""]",REMOVE,[],"[""AT"", ""GB""]"
Rutgers,"[""Rutgers""]",REMOVE,[],"[""AT"", ""IT""]"
Santa Cruz,"[""Santa Cruz""]",REMOVE,[],"[""AU"", ""BE"", ""CA"", ""CH"", ""CN"", ""DK"", ""GB"", ""HK"", ""IL"", ""SG"", ""TW"", ""US""]"
College of Computer Science,"[""College of Computer Science""]",REMOVE,[],"[""AU"", ""CA"", ""CH"", ""CN"", ""DE"", ""ES"", ""FR"", ""GB"", ""HK"", ""IE"", ""JP"", ""NL"", ""SA"", ""US"", ""ZA""]"
Santa Barbara,"[""Santa Barbara""]",REMOVE,[],US
Technology and Research,"[""Technology and Research""]",REMOVE,[],"[""AU"", ""CA"", ""CN"", ""DE"", ""GB"", ""HK"", ""IL"", ""JP"", ""NL"", ""SG"", ""US""]"
School of Computer Science and Technology,"[""School of Computer Science and Technology""]",REMOVE,[],"[""AU"", ""CA"", ""CN"", ""DE"", ""GB"", ""IL"", ""IN"", ""SG"", ""US""]"
Neuroscience Institute,"[""Neuroscience Institute""]",REMOVE,[],DE
OpenAI,"[""OpenAI""]",REMOVE,[],"[""AU"", ""CA"", ""CN"", ""ES"", ""HK"", ""SG"", ""US""]"
College Station,"[""College Station""]",REMOVE,[],US
Merced,"[""Merced""]",REMOVE,[],US
School of Engineering and Applied Sciences,"[""School of Engineering and Applied Sciences""]",REMOVE,[],"[""AU"", ""CA"", ""CN"", ""FI"", ""FR"", ""GB"", ""HK"", ""IN"", ""JP"", ""KR"", ""NL"", ""NZ"", ""SG"", ""US""]"
Max Planck Innovation,"[""Max Planck Innovation""]",REMOVE,[],DE
Robert Bosch (Germany),"[""Robert Bosch""]",REMOVE,[],DE
Riverside,"[""Riverside""]",REMOVE,[],"[""AU"", ""CA"", ""CN"", ""GB"", ""HK"", ""SG"", ""US""]"
Alphabet (United States),"[""Alphabet (United States)""]",REMOVE,[],"[""AU"", ""CA"", ""CN"", ""US""]"
Austin,"[""Austin""]",REMOVE,[],"[""AU"", ""DE"", ""JP""]"
San Francisco,"[""San Francisco""]",REMOVE,[],"[""AU"", ""DE"", ""JP""]"
Département d'Informatique,"[""Département d'Informatique""]",REMOVE,[],"[""AU"", ""FI"", ""PK"", ""US""]"
LIP6,"[""LIP6""]",REMOVE,[],"[""AU"", ""SG"", ""US""]"
Meta AI,"[""Meta AI""]",REMOVE,[],"[""BE"", ""CA"", ""CH"", ""CN"", ""DE"", ""FR"", ""GB"", ""HK"", ""IL"", ""IN"", ""JP"", ""NL"", ""SE"", ""SG"", ""US""]"
Research,"[""Research""]",REMOVE,[],"[""BE"", ""US""]"
LIT AI Lab,"[""LIT AI Lab""]",REMOVE,[],"[""BR"", ""FR"", ""GB""]"
Western University,"[""Western University""]",REMOVE,[],"[""BR"", ""NO""]"
Health Sciences and Nutrition,"[""Health Sciences and Nutrition""]",REMOVE,[],"[""BY"", ""DK""]"
School of Computer and Information Technology,"[""School of Computer and Information Technology""]",REMOVE,[],CN
Information Technology University,"[""Information Technology University""]",REMOVE,[],"[""BY"", ""DK""]"
Stepfun,"[""Stepfun""]",REMOVE,[],"[""CA"", ""CH"", ""CN"", ""US""]"
Citadel,"[""Citadel""]",REMOVE,[],"[""CA"", ""CH"", ""FR"", ""GB"", ""IT"", ""US""]"
Core Competence,"[""Core Competence""]",REMOVE,[],US
CyberAgent,"[""CyberAgent""]",REMOVE,[],JP
Engineering,"[""Engineering""]",REMOVE,[],"[""CA"", ""CH"", ""FR""]"
and Medicine,"[""and Medicine""]",REMOVE,[],"[""CA"", ""CH"", ""GB"", ""JP"", ""KR"", ""US""]"
Centre for Cognitive Science,"[""Centre for Cognitive Science""]",REMOVE,[],"[""CA"", ""CN"", ""GB"", ""HK"", ""IN"", ""US""]"
City,"[""City""]",REMOVE,[],"[""CA"", ""CN"", ""GB"", ""IL"", ""SG"", ""US""]"
College of Computer and Cyber Security,"[""College of Computer and Cyber Security""]",REMOVE,[],"[""CA"", ""CN"", ""GB"", ""IL"", ""US""]"
William & Mary,"[""William & Mary""]",REMOVE,[],"[""CA"", ""CN""]"
Department of Physics,"[""Department of Physics""]",REMOVE,[],"[""CA"", ""DE"", ""US""]"
Mathematics and Informatics,"[""Mathematics and Informatics""]",REMOVE,[],"[""CA"", ""GB"", ""IL"", ""IN"", ""US""]"
S-Lab,"[""S-Lab""]",REMOVE,[],"[""CA"", ""GB"", ""NL"", ""US""]"
