venue,year,scraped_count,index_count,external_count,count_status,abstract_coverage,openalex_match_rate,doi_coverage,citation_coverage
neurips,1987,90,90,90,ok,1.0,0.06666666666666667,0.0,0.06666666666666667
neurips,1988,94,94,94,ok,1.0,0.10638297872340426,0.0,0.10638297872340426
neurips,1989,101,101,101,ok,1.0,0.0594059405940594,0.0,0.0594059405940594
neurips,1990,143,143,143,ok,1.0,0.0979020979020979,0.0,0.0979020979020979
neurips,1991,144,144,144,ok,1.0,0.08333333333333333,0.0,0.08333333333333333
neurips,1992,127,127,127,ok,1.0,0.12598425196850394,0.0,0.12598425196850394
neurips,1993,158,158,158,ok,1.0,0.0759493670886076,0.0,0.0759493670886076
neurips,1994,140,140,140,ok,1.0,0.17857142857142858,0.0,0.17857142857142858
neurips,1995,152,152,152,ok,1.0,0.15789473684210525,0.0,0.15789473684210525
neurips,1996,152,152,152,ok,1.0,0.19078947368421054,0.0,0.19078947368421054
neurips,1997,150,150,150,ok,1.0,0.14,0.0,0.14
neurips,1998,151,151,151,ok,1.0,0.17218543046357615,0.0,0.17218543046357615
neurips,1999,150,150,150,ok,1.0,0.2733333333333333,0.0,0.2733333333333333
neurips,2000,152,152,152,ok,1.0,0.27631578947368424,0.0,0.27631578947368424
neurips,2001,197,197,197,ok,1.0,0.15228426395939088,0.0,0.15228426395939088
neurips,2002,207,207,207,ok,1.0,0.3140096618357488,0.0,0.3140096618357488
neurips,2003,198,198,198,ok,1.0,0.29797979797979796,0.0,0.29797979797979796
neurips,2004,207,207,207,ok,1.0,0.3285024154589372,0.004830917874396135,0.3285024154589372
neurips,2005,207,207,207,ok,1.0,0.30434782608695654,0.0,0.30434782608695654
neurips,2006,204,204,204,ok,1.0,0.004901960784313725,0.0,0.004901960784313725
neurips,2007,217,217,217,ok,1.0,0.3824884792626728,0.009216589861751152,0.3824884792626728
neurips,2008,250,250,250,ok,1.0,0.336,0.0,0.336
neurips,2009,262,262,262,ok,1.0,0.42366412213740456,0.003816793893129771,0.42366412213740456
neurips,2010,292,292,292,ok,1.0,0.3972602739726027,0.0,0.3972602739726027
neurips,2011,306,306,306,ok,1.0,0.3954248366013072,0.0032679738562091504,0.3954248366013072
neurips,2012,370,370,370,ok,1.0,0.3567567567567568,0.005405405405405406,0.3567567567567568
neurips,2013,360,360,360,ok,1.0,0.2916666666666667,0.005555555555555556,0.2916666666666667
neurips,2014,411,411,411,ok,1.0,0.26034063260340634,0.009732360097323601,0.26034063260340634
neurips,2015,403,403,403,ok,1.0,0.22332506203473945,0.004962779156327543,0.22332506203473945
neurips,2016,569,569,569,ok,1.0,0.21616871704745166,0.005272407732864675,0.21616871704745166
neurips,2017,679,679,679,ok,1.0,0.2960235640648012,0.0,0.2960235640648012
neurips,2018,1009,1009,1009,ok,1.0,0.19821605550049554,0.004955401387512388,0.19821605550049554
neurips,2019,1428,1428,1428,ok,1.0,0.16526610644257703,0.0014005602240896359,0.16526610644257703
neurips,2020,1898,1898,1898,ok,1.0,0.13540569020021076,0.0015806111696522655,0.13540569020021076
neurips,2021,2334,2334,2334,ok,1.0,0.04884318766066838,0.0,0.04884318766066838
neurips,2022,2834,2834,2834,ok,1.0,0.0,0.0,0.0
neurips,2023,3540,3540,3540,ok,1.0,0.0,0.0,0.0
neurips,2024,4493,4493,4493,ok,1.0,0.0,0.0,0.0
neurips,2025,5823,5823,5823,ok,1.0,0.0,0.0,0.0
